Geography	Sector	Description	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	(blank)
Canada	Not Creative	International and other extra-territorial public administration	2740	3050	3170	3318	3392	3525	3675	3755	3750	3670	
Canada	Not Creative	Interurban and rural bus transportation	5217	5142	5292	5467	5483	5292	5267	5108	4967	4925	
Canada	Not Creative	Investigation and security services	98333	99075	98333	98508	99467	100542	101125	102308	103100	102717	
Canada	Not Creative	Iron and steel mills and ferro-alloy manufacturing	15433	15183	15067	14825	14775	14650	14400	14167	13817	14033	
Canada	Not Creative	"Jewellery, luggage and leather goods stores"	28358	27858	26767	25967	24625	23542	22958	22542	23075	23425	
Canada	Not Creative	Land subdivision	9683	9933	10233	10542	10508	10733	10817	10875	10992	10867	
Canada	Not Creative	Lawn and garden equipment and supplies stores	11617	11125	10917	10908	10417	10500	10750	11142	11475	12083	
Canada	Not Creative	Leather and hide tanning and finishing											
Canada	Not Creative	Legal services	148592	147750	147575	148483	148025	148475	149542	149733	149633	149550	
Canada	Not Creative	Lessors of non-financial intangible assets (except copyrighted works)	2567	2567	2567	2567	2567	2700	2725	2467	1800	1650	
Canada	Not Creative	Lessors of real estate	77867	79058	80500	81292	83867	86775	90167	91958	92808	93942	
Canada	Not Creative	Lime and gypsum product manufacturing	3620	3600	3514	3488	3500	3500	3500	3511	3544	3589	
Canada	Not Creative	Local messengers and local delivery	9808	9942	10033	9817	9525	9750	10150	10225	10400	10442	
Canada	Not Creative	Logging	31017	30967	30608	30367	29892	29083	28767	28425	28158	28092	
Canada	Not Creative	"Lumber, millwork, hardware and other building supplies merchant wholesalers"	46392	47383	47917	47442	48350	49358	50117	50550	51033	50708	
Canada	Not Creative	"Machine shops, turned product, and screw, nut and bolt manufacturing"	37983	38200	38742	39175	39917	40483	40433	40267	40317	40500	
Canada	Not Creative	Management of companies and enterprises	2475	2788	2889	2820	2820	2820	2840	3010	3140	3340	
Canada	Not Creative	Manufacturing and reproducing magnetic and optical media	3211	3160	3170	3144	3044	2800	2875	2800	2638	2675	
Canada	Not Creative	Meat product manufacturing	56358	57208	57525	57642	58417	59033	60583	62642	64358	65600	
Canada	Not Creative	Medical and diagnostic laboratories	24875	25117	25700	26200	26767	26325	26217	25550	25408	25508	
Canada	Not Creative	Medical equipment and supplies manufacturing	20033	19317	18750	18125	17817	17442	17067	16842	16300	16900	
Canada	Not Creative	Metal ore mining	28500	29350	30183	30975	31742	32817	33167	33367	33175	33333	
Canada	Not Creative	Metal service centres	16258	15875	15792	16075	16133	16458	16542	15792	15533	15375	
Canada	Not Creative	Metalworking machinery manufacturing	12733	12808	13083	13308	13300	13250	13683	14008	14150	14667	
Canada	Not Creative	Monetary authorities - central bank					1600	1600	1600	1600	1750	1667	
Canada	Not Creative	Motion picture and video industries	53967	53633	53542	53400	53725	54375	54700	54867	54875	53942	
Canada	Not Creative	Motor vehicle body and trailer manufacturing	17367	17667	17667	17817	17950	17775	17700	18092	18167	17875	
Canada	Not Creative	Motor vehicle manufacturing	49525	49892	49600	49600	49983	50533	50658	51758	52200	53108	
Canada	Not Creative	Motor vehicle merchant wholesalers	21392	21058	20225	19492	19092	18742	18408	18308	18342	18433	
Canada	Not Creative	Motor vehicle parts manufacturing	67567	67742	68500	69700	71342	72325	72525	73458	74033	74533	
Canada	Not Creative	Natural gas distribution	14667	14375	14392	14325	14300	14517	14525	15017	15000	14867	
Canada	Not Creative	"Navigational, measuring, medical and control instruments manufacturing"	21350	21217	21017	20733	20642	20883	21025	21633	22158	22342	
Canada	Not Creative	New motor vehicle parts and accessories merchant wholesalers	29450	29592	30058	30325	30942	30642	30367	30167	28925	28317	
Canada	Not Creative	"Newspaper, periodical, book and directory publishers"	75067	75908	76808	77992	77733	77867	77508	77700	78058	77833	
Canada	Not Creative	Non-depository credit intermediation	26600	26150	25800	25975	26158	26300	26075	25633	25583	25633	
Canada	Not Creative	Non-ferrous metal (except aluminum) production and processing	6250	6083	5917	5542	5067	4775	4742	4642	4633	4708	
